Month,Globex,Open OutCry,Clear Port,Total Volume,Block Trades,EFP,EFR,EFS,TAS,Deliveries,At Close,Change,Trade Day
APR 20,"35,106",0,"3,650","38,756",257,"3,393",0,0,"6,547",0.0,"34,208","-10,853",20200323
MAY 20,"84,278",0,"2,606","86,884","1,418",750,0,0,"5,797",0.0,"115,435","10,787",20200323
JUN 20,"44,246",0,"1,203","45,449","1,203",0,0,0,491,0.0,"46,849",899,20200323
JUL 20,"29,604",0,256,"29,860",256,0,0,0,289,0.0,"29,214",126,20200323
AUG 20,"17,988",0,100,"18,088",100,0,0,0,179,0.0,"18,158",491,20200323
SEP 20,"19,120",0,615,"19,735",615,0,0,0,72,0.0,"30,270",906,20200323
OCT 20,"11,292",0,600,"11,892",600,0,0,0,1,0.0,"16,462",-853,20200323
NOV 20,"8,071",0,600,"8,671",600,0,0,0,0,0.0,"16,784",-544,20200323
DEC 20,"12,932",0,947,"13,879",947,0,0,0,0,0.0,"34,168","2,440",20200323
JAN 21,"3,963",0,600,"4,563",600,0,0,0,0,0.0,"4,103",137,20200323
FEB 21,"2,025",0,0,"2,025",0,0,0,0,0,0.0,"1,837",363,20200323
MAR 21,"2,038",0,0,"2,038",0,0,0,0,0,0.0,"4,325",606,20200323
APR 21,"1,085",0,0,"1,085",0,0,0,0,0,0.0,"2,840",42,20200323
MAY 21,375,0,0,375,0,0,0,0,0,0.0,821,-2,20200323
JUN 21,"3,090",0,400,"3,490",400,0,0,0,0,0.0,"9,408","2,044",20200323
JUL 21,165,0,0,165,0,0,0,0,0,0.0,321,79,20200323
AUG 21,49,0,0,49,0,0,0,0,0,0.0,192,17,20200323
SEP 21,137,0,0,137,0,0,0,0,0,0.0,439,103,20200323
OCT 21,17,0,0,17,0,0,0,0,0,0.0,215,-9,20200323
NOV 21,0,0,0,0,0,0,0,0,0,0.0,180,0,20200323
DEC 21,799,0,0,799,0,0,0,0,0,0.0,"3,966",455,20200323
JAN 22,0,0,0,0,0,0,0,0,0,0.0,233,0,20200323
FEB 22,0,0,0,0,0,0,0,0,0,0.0,7,0,20200323
MAR 22,0,0,0,0,0,0,0,0,0,0.0,5,0,20200323
APR 22,0,0,0,0,0,0,0,0,0,0.0,11,0,20200323
MAY 22,0,0,0,0,0,0,0,0,0,0.0,3,0,20200323
JUN 22,0,0,0,0,0,0,0,0,0,0.0,51,0,20200323
JUL 22,0,0,0,0,0,0,0,0,0,0.0,1,0,20200323
AUG 22,0,0,0,0,0,0,0,0,0,0.0,2,0,20200323
SEP 22,0,0,0,0,0,0,0,0,0,0.0,1,0,20200323
OCT 22,0,0,0,0,0,0,0,0,0,0.0,1,0,20200323
NOV 22,0,0,0,0,0,0,0,0,0,0.0,1,0,20200323
DEC 22,0,0,0,0,0,0,0,0,0,0.0,2,0,20200323
JAN 23,0,0,0,0,0,0,0,0,0,0.0,5,0,20200323
APR 20,"26,098",0,"4,618","30,716",463,"4,155",0,0,"8,339",0.0,"27,405","-6,671",20200324
MAY 20,"87,647",0,"1,910","89,557",627,"1,210",0,0,"11,090",0.0,"115,965",-202,20200324
JUN 20,"45,488",0,137,"45,625",137,0,0,0,"2,194",0.0,"48,877","2,028",20200324
JUL 20,"30,055",0,950,"31,005",950,0,0,0,304,0.0,"30,076",854,20200324
AUG 20,"20,467",0,200,"20,667",200,0,0,0,240,0.0,"19,247","1,078",20200324
SEP 20,"22,632",0,"1,196","23,828","1,146",50,0,0,10,0.0,"30,963",569,20200324
OCT 20,"16,571",0,966,"17,537",966,0,0,0,1,0.0,"17,882","1,420",20200324
NOV 20,"8,974",0,20,"8,994",20,0,0,0,0,0.0,"16,805",21,20200324
DEC 20,"13,503",0,20,"13,523",20,0,0,0,0,0.0,"34,384",209,20200324
JAN 21,"2,795",0,20,"2,815",20,0,0,0,0,0.0,"5,018",915,20200324
FEB 21,588,0,20,608,20,0,0,0,0,0.0,"1,869",32,20200324
MAR 21,403,0,20,423,20,0,0,0,0,0.0,"4,442",117,20200324
APR 21,"1,129",0,25,"1,154",25,0,0,0,0,0.0,"3,164",324,20200324
